outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities
2014,August,1010,91.0,1.0
2014,September,671,75.0,0.0
2014,October,726,73.0,7.0
2014,November,1140,30.0,1.0
2014,December,1334,33.0,1.0
2015,January,856,36.0,1.0
2015,February,939,15.0,0.0
2015,March,1479,50.0,0.0
2015,April,1312,105.0,2.0
2015,May,1479,47.0,0.0
2015,June,1585,169.0,4.0
2015,July,1844,269.0,6.0
2015,August,1001,37.0,0.0
2015,September,884,32.0,0.0
2015,October,1440,114.0,0.0
2015,November,778,18.0,0.0
2015,December,1421,31.0,1.0
