Date,Open,High,Low,Close,Adj Close,Volume
1998-01-01,47.687500,55.000000,47.125000,53.812500,19.174625,11298900
1998-02-01,66.000000,66.625000,53.000000,54.312500,19.352777,26168100
1998-03-01,55.500000,56.000000,51.250000,54.125000,19.285978,11748300
1998-04-01,55.937500,59.750000,50.812500,56.562500,20.393272,11170900
1998-05-01,57.000000,57.500000,53.625000,53.937500,19.446859,5821600
1998-06-01,53.500000,62.000000,53.000000,59.812500,21.565050,8147600
1998-07-01,60.125000,62.750000,56.312500,60.812500,21.925585,8095200
1998-08-01,60.250000,63.812500,55.312500,55.375000,19.965128,11426100
1998-09-01,58.750000,62.000000,56.750000,57.125000,20.776882,15108000
1998-10-01,58.250000,63.000000,49.375000,62.250000,22.640886,10922300
1998-11-01,62.750000,65.687500,59.812500,63.500000,23.095522,6241300
1998-12-01,61.375000,69.687500,61.000000,69.500000,25.277786,6031300
1999-01-01,70.062500,76.187500,66.562500,67.875000,24.686760,8051500
1999-02-01,68.750000,68.875000,61.875000,64.062500,23.300108,9405900
1999-03-01,63.687500,67.500000,60.062500,66.937500,24.345762,9463000
1999-04-01,69.375000,70.750000,57.750000,58.000000,21.298708,12306200
1999-05-01,58.125000,60.625000,54.000000,56.250000,20.656065,10465500
1999-06-01,57.187500,61.625000,54.375000,56.625000,20.793766,11125800
1999-07-01,57.500000,58.937500,50.187500,52.187500,19.164248,16643300
1999-08-01,52.187500,54.875000,48.062500,52.937500,19.439667,11719400
1999-09-01,53.000000,55.750000,51.062500,52.000000,19.307501,5102900
1999-10-01,51.000000,61.562500,50.625000,59.875000,22.231474,13351900
1999-11-01,59.375000,63.250000,57.750000,59.437500,22.069035,9442300
1999-12-01,59.500000,61.937500,51.375000,55.875000,20.746281,8493300
2000-01-01,55.937500,61.250000,50.250000,52.750000,19.585978,16971500
2000-02-01,51.250000,53.000000,45.250000,48.750000,18.100773,16243700
2000-03-01,49.562500,59.625000,46.812500,57.312500,21.280018,18301200
2000-04-01,58.812500,64.437500,56.500000,62.812500,23.703854,15660400
2000-05-01,62.312500,62.375000,56.312500,56.312500,21.250921,11181300
2000-06-01,57.500000,58.750000,52.687500,57.812500,21.816982,16043600
